Herd,id,season_yr,distance,comparison,dyadID
Fogo,FO2016014,2017,13689.00701,conspecific,FO2016014-FO2017004
Fogo,FO2016014,2017,4805.505006,conspecific,FO2016014-FO2017009
Fogo,FO2016014,2017,16113.34972,conspecific,FO2016014-FO2017014
Fogo,FO2016014,2017,6182.789798,conspecific,FO2016014-FO2017006
Fogo,FO2016014,2017,17571.5713,conspecific,FO2016014-FO2017001
Fogo,FO2016014,2017,18822.8534,conspecific,FO2016014-FO2017013
Fogo,FO2016014,2017,17908.35084,conspecific,FO2016014-FO2017012
Fogo,FO2016014,2017,6292.321781,conspecific,FO2016014-FO2017008
Fogo,FO2016015,2017,3754.62299,conspecific,FO2016015-FO2017011
Fogo,FO2016015,2017,7033.337728,conspecific,FO2016015-FO2017003
Fogo,FO2016015,2017,7172.806146,conspecific,FO2016015-FO2017007
Fogo,FO2016015,2017,14218.28969,conspecific,FO2016015-FO2017004
Fogo,FO2016015,2017,312.6428754,conspecific,FO2016015-FO2017009
Fogo,FO2016015,2017,14868.37517,conspecific,FO2016015-FO2017014
Fogo,FO2016015,2017,6216.355267,conspecific,FO2016015-FO2017006
Fogo,FO2016015,2017,17343.2533,conspecific,FO2016015-FO2017001
Fogo,FO2016015,2017,20359.63238,conspecific,FO2016015-FO2017013
Fogo,FO2016015,2017,16253.47985,conspecific,FO2016015-FO2017012
Fogo,FO2016015,2017,9252.201792,conspecific,FO2016015-FO2017008
Fogo,FO2017001,2017,18727.24341,conspecific,FO2017001-FO2017011
Fogo,FO2017001,2017,13903.16003,conspecific,FO2017001-FO2017003
Fogo,FO2017001,2017,14442.83941,conspecific,FO2017001-FO2017007
Fogo,FO2017001,2017,4395.615705,conspecific,FO2017001-FO2017004
Fogo,FO2017001,2017,17539.92449,conspecific,FO2017001-FO2017009
