calved,calving_date,lost,Herd,id,season,season_yr,dist_to_last_yr,mean_diff_dist,mean_ln_dist,prop_forest
TRUE,2010-05-26,FALSE,Midridge,mr2009a07,calving,2010,6245.043119,5645.74369,0.556657429,0.368737475
TRUE,2011-05-30,TRUE,Midridge,mr2009a07,calving,2011,869.3071882,3866.064217,0.335541284,0.253295129
TRUE,2012-05-21,FALSE,Midridge,mr2009a07,calving,2012,41939.80556,32360.5666,1.467696227,0.513761468
TRUE,2010-05-28,TRUE,Midridge,mr2009a08,calving,2010,10370.36938,7483.227363,0.710654084,0.361653272
TRUE,2011-06-01,TRUE,Midridge,mr2009a08,calving,2011,5999.111946,5568.384546,0.489563771,0.329215743
TRUE,2012-05-22,FALSE,Midridge,mr2009a08,calving,2012,8723.85261,9749.837245,0.861191121,0.334862385
TRUE,2010-06-01,FALSE,Midridge,mr2009a09,calving,2010,33496.05797,9742.087843,0.570640218,0.387918695
TRUE,2011-05-29,FALSE,Midridge,mr2009a09,calving,2011,16913.99188,13098.10637,0.905781079,0.134174312
TRUE,2012-05-24,FALSE,Midridge,mr2009a09,calving,2012,8664.478134,10426.67434,0.929906707,0.108022923
TRUE,2013-05-22,TRUE,Midridge,mr2009a09,calving,2013,22559.61345,15469.60395,1.300711098,0.437912245
TRUE,2012-05-28,TRUE,Midridge,mr2009a10,calving,2012,6017.865068,8765.08204,0.985845654,0.175408426
TRUE,2013-05-23,FALSE,Midridge,mr2009a10,calving,2013,4586.257217,7980.417759,0.624341871,0.119518487
TRUE,2010-05-22,FALSE,Midridge,mr2009a11,calving,2010,13975.75916,8254.075897,0.780087526,0.039805269
TRUE,2011-05-22,FALSE,Midridge,mr2009a11,calving,2011,11494.71009,9805.971904,0.863730028,0.209049255
TRUE,2010-05-22,FALSE,Midridge,mr2009a14,calving,2010,3867.37107,5787.888779,0.179458768,0.389718553
TRUE,2011-05-22,FALSE,Midridge,mr2009a14,calving,2011,6367.477368,6779.3523,0.196775179,0.287553648
TRUE,2010-06-04,TRUE,Midridge,mr2009a15,calving,2010,22842.20647,19910.17684,0.466665367,0.034502588
TRUE,2010-05-22,FALSE,Midridge,mr2009a16,calving,2010,13496.69952,8326.041983,0.882937562,0.242268041
TRUE,2011-05-22,FALSE,Midridge,mr2009a16,calving,2011,12452.57102,11038.22902,0.943932406,0.564212329
TRUE,2010-06-07,TRUE,Midridge,mr2009a17,calving,2010,4088.251489,6356.008345,0.616958405,0.038472581
TRUE,2010-05-26,FALSE,Midridge,mr2009a18,calving,2010,22070.02069,11486.37464,1.044655779,0.112861644
TRUE,2011-05-23,FALSE,Midridge,mr2009a18,calving,2011,7416.421656,6016.910742,0.72097662,0.290461186
TRUE,2012-06-04,TRUE,Midridge,mr2009a18,calving,2012,6129.706484,9117.527523,0.885243348,0.180802292
TRUE,2012-05-27,FALSE,Midridge,mr2009a21,calving,2012,14862.30999,11891.632,1.005312797,0.085509326
TRUE,2010-05-22,FALSE,Midridge,mr2009a24,calving,2010,8551.314967,5154.365748,0.502331319,0.130584192
TRUE,2011-05-22,FALSE,Midridge,mr2009a24,calving,2011,8203.828092,7072.341975,0.475259588,0.14117984
TRUE,2010-06-15,TRUE,Midridge,mr2009a25,calving,2010,16776.74615,10143.49963,1.035013664,0.583381089
TRUE,2011-05-24,FALSE,Midridge,mr2009a25,calving,2011,15228.79615,6947.042032,0.623158248,0.205738881
TRUE,2012-05-24,FALSE,Midridge,mr2009a25,calving,2012,2473.849415,9622.284747,0.668344591,0.04105656
TRUE,2013-05-23,TRUE,Midridge,mr2009a25,calving,2013,5309.884425,4889.020456,0.418282272,0.146620848
TRUE,2010-05-22,FALSE,Midridge,mr2009a26,calving,2010,1894.145472,7495.096128,0.847100635,0.199426112
TRUE,2010-05-22,FALSE,Midridge,mr2009a27,calving,2010,5121.04951,5883.731026,0.591474403,0.055539651
TRUE,2011-05-22,FALSE,Midridge,mr2009a28,calving,2011,61127.89977,23222.69537,0.444898151,0.917049369
TRUE,2011-05-22,FALSE,Midridge,mr2009a30,calving,2011,11900.20082,6572.687727,0.917033174,0.119047619
TRUE,2012-05-24,FALSE,Midridge,mr2009a30,calving,2012,14293.14536,12588.96213,0.886762575,0.117494973
TRUE,2011-05-23,FALSE,Midridge,mr2009a31,calving,2011,21343.51345,16057.55876,0.887346527,0.646704871
TRUE,2012-05-21,FALSE,Midridge,mr2009a31,calving,2012,43052.33345,16281.89608,0.540067936,0.950415592
TRUE,2013-05-28,FALSE,Midridge,mr2009a31,calving,2013,15182.18769,9859.556453,0.57763588,0.122817063
TRUE,2012-05-21,FALSE,Midridge,mr2010a01,calving,2012,4936.754208,10354.90329,0.575784388,0.100315277
TRUE,2012-06-05,FALSE,Midridge,mr2011a01,calving,2012,8186.453883,8556.187621,0.692813027,0.086819484
TRUE,2013-05-22,FALSE,Midridge,mr2011a01,calving,2013,10363.96843,5240.723275,0.331681789,0.450042943
TRUE,2012-05-21,FALSE,Midridge,mr2011a04,calving,2012,11957.46403,17574.30891,0.553553648,0.711257519
TRUE,2013-05-24,TRUE,Midridge,mr2011a04,calving,2013,4412.646049,3075.334797,0.167414549,0.323200459
TRUE,2007-05-22,FALSE,Pothill,sc2006001,calving,2007,11013.91902,7910.875078,0.450228214,0.559059633
TRUE,2008-06-04,TRUE,Pothill,sc2006001,calving,2008,6837.321645,6937.073236,0.26631056,0.307206431
TRUE,2007-06-02,TRUE,Pothill,sc2006002,calving,2007,38162.29443,3528.067829,0.158749525,0.862829324
TRUE,2008-05-21,FALSE,Pothill,sc2006002,calving,2008,39436.41382,20093.0331,0.68847779,0.757359245
TRUE,2009-05-22,FALSE,Pothill,sc2006002,calving,2009,1021.609866,4523.21522,0.178117899,0.692638213
TRUE,2010-05-22,FALSE,Pothill,sc2006002,calving,2010,1044.011049,2352.486545,0.115876549,0.553965073
TRUE,2007-06-01,TRUE,Pothill,sc2006004,calving,2007,1541.624356,8117.543003,0.450605891,0.900743707
TRUE,2008-06-03,TRUE,Pothill,sc2006004,calving,2008,997.3784472,4778.836879,0.234853385,0.737234653
TRUE,2009-06-04,TRUE,Pothill,sc2006004,calving,2009,641.3207055,2992.662915,0.123121273,0.849613291
TRUE,2010-06-07,TRUE,Pothill,sc2006004,calving,2010,1322.642636,4540.4466,0.192896757,0.796503296
TRUE,2008-06-07,TRUE,Pothill,sc2006036,calving,2008,32713.91358,16602.85521,0.701671782,0.567327017
TRUE,2009-05-25,FALSE,Pothill,sc2006036,calving,2009,19697.80442,11619.65386,0.522623012,0.764857881
TRUE,2010-05-22,FALSE,Pothill,sc2006036,calving,2010,2017.143274,4012.493046,0.163059661,0.782172542
TRUE,2011-05-30,TRUE,Pothill,sc2006036,calving,2011,27946.33859,15348.84797,0.438633449,0.219770774
TRUE,2012-05-21,FALSE,Pothill,sc2006036,calving,2012,26955.59363,1955.233907,0.084924931,0.766695328
TRUE,2008-05-27,TRUE,Pothill,sc2007006,calving,2008,6204.928279,3738.284285,0.112493898,0.309762382
TRUE,2008-05-22,FALSE,Pothill,sc2007007,calving,2008,2860.13676,3690.222599,0.10918753,0.896591235
TRUE,2008-05-21,FALSE,Pothill,sc2007014,calving,2008,5765.92703,3715.315112,0.134395668,0.761142857
TRUE,2009-05-22,TRUE,Pothill,sc2007014,calving,2009,3463.300276,6753.43282,0.173350685,0.879701407
TRUE,2008-05-21,FALSE,Pothill,sc2007016,calving,2008,2722.380749,4489.660758,0.195933934,0.613474165
TRUE,2009-05-22,FALSE,Pothill,sc2007016,calving,2009,2334.120026,4423.932194,0.235154748,0.714408479
TRUE,2008-05-25,FALSE,Pothill,sc2007018,calving,2008,15260.62768,11856.63182,0.311910529,0.677002584
TRUE,2009-05-22,FALSE,Pothill,sc2007018,calving,2009,16016.99723,11403.72239,0.340530741,0.449341729
TRUE,2010-05-27,TRUE,Pothill,sc2007018,calving,2010,2049.986343,4010.513007,0.09482425,0.028431936
TRUE,2008-05-29,TRUE,Pothill,sc2007020,calving,2008,3136.356575,3410.309429,0.200251677,0.756013746
TRUE,2009-05-22,FALSE,Pothill,sc2007020,calving,2009,1395.604027,5690.311,0.175419083,0.780389908
