Herd,season_yr,season,ID1,ID2,distance,dyadID
Fogo,2017,calving,FO2016010,FO2016002,4849.813454,FO2016002-FO2016010
Fogo,2017,calving,FO2016012,FO2016014,2679.004521,FO2016012-FO2016014
Fogo,2017,calving,FO2016012,FO2017011,10355.86224,FO2016012-FO2017011
Fogo,2017,calving,FO2016012,FO2017003,2132.120611,FO2016012-FO2017003
Fogo,2017,calving,FO2016012,FO2016015,6616.392699,FO2016012-FO2016015
Fogo,2017,calving,FO2016012,FO2016004,15327.65089,FO2016004-FO2016012
Fogo,2017,calving,FO2016012,FO2017007,1639.284901,FO2016012-FO2017007
Fogo,2017,calving,FO2016012,FO2017004,11896.12163,FO2016012-FO2017004
Fogo,2017,calving,FO2016012,FO2016008,8424.647151,FO2016008-FO2016012
Fogo,2017,calving,FO2016012,FO2017009,6917.217759,FO2016012-FO2017009
Fogo,2017,calving,FO2016012,FO2017014,15168.81987,FO2016012-FO2017014
Fogo,2017,calving,FO2016012,FO2017006,5466.954467,FO2016012-FO2017006
Fogo,2017,calving,FO2016012,FO2017001,16033.22916,FO2016012-FO2017001
Fogo,2017,calving,FO2016012,FO2016005,7927.986698,FO2016005-FO2016012
Fogo,2017,calving,FO2016012,FO2017013,16495.2651,FO2016012-FO2017013
Fogo,2017,calving,FO2016012,FO2016010,11697.02145,FO2016010-FO2016012
Fogo,2017,calving,FO2016012,FO2016003,15345.26067,FO2016003-FO2016012
Fogo,2017,calving,FO2016012,FO2016013,5534.043139,FO2016012-FO2016013
Fogo,2017,calving,FO2016012,FO2017012,17144.76979,FO2016012-FO2017012
Fogo,2017,calving,FO2016012,FO2017008,3761.488933,FO2016012-FO2017008
Fogo,2017,calving,FO2016012,FO2016002,6915.024095,FO2016002-FO2016012
Fogo,2017,calving,FO2016013,FO2016014,3805.578865,FO2016013-FO2016014
Fogo,2017,calving,FO2016013,FO2017011,10093.7772,FO2016013-FO2017011
Fogo,2017,calving,FO2016013,FO2017003,7587.889592,FO2016013-FO2017003
Fogo,2017,calving,FO2016013,FO2016015,6971.393249,FO2016013-FO2016015
Fogo,2017,calving,FO2016013,FO2016004,18786.17199,FO2016004-FO2016013
Fogo,2017,calving,FO2016013,FO2017007,7162.945602,FO2016013-FO2017007
Fogo,2017,calving,FO2016013,FO2017004,17309.77187,FO2016013-FO2017004
Fogo,2017,calving,FO2016013,FO2016008,9695.383361,FO2016008-FO2016013
Fogo,2017,calving,FO2016013,FO2017009,7113.283463,FO2016013-FO2017009
Fogo,2017,calving,FO2016013,FO2017014,19918.53806,FO2016013-FO2017014
Fogo,2017,calving,FO2016013,FO2017006,9987.149883,FO2016013-FO2017006
Fogo,2017,calving,FO2016013,FO2017001,21301.45335,FO2016013-FO2017001
Fogo,2017,calving,FO2016013,FO2016005,12024.906,FO2016005-FO2016013
Fogo,2017,calving,FO2016013,FO2017013,22004.77095,FO2016013-FO2017013
Fogo,2017,calving,FO2016013,FO2016010,11441.72896,FO2016010-FO2016013
Fogo,2017,calving,FO2016013,FO2016003,19176.99065,FO2016003-FO2016013
